epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2872.47,1.90545,2.39125,1.02507,0.28671,0.16249,0.11204,0.05772,1.79653,1.61374,0.99387,0.000237412,0.000237412,0.000237412
2,5702.48,1.76507,1.60346,0.98482,0.22885,0.21336,0.14653,0.07616,1.73634,1.45324,0.97507,0.000428347,0.000428347,0.000428347
3,8555.01,1.71944,1.47741,0.97286,0.26445,0.21582,0.16385,0.08787,1.72166,1.40712,0.95525,0.000572157,0.000572157,0.000572157
4,2850.86,1.68414,1.39826,0.96216,0.25652,0.24581,0.1666,0.08982,1.66026,1.43398,0.95261,0.000501942,0.000501942,0.000501942
5,5746.52,1.65574,1.33544,0.95485,0.30553,0.24853,0.19036,0.10296,1.64719,1.32228,0.94378,0.000431256,0.000431256,0.000431256
6,8526.37,1.62467,1.2873,0.94604,0.32195,0.25715,0.20725,0.11336,1.60587,1.27214,0.94187,0.00036057,0.00036057,0.00036057
7,11307.9,1.60922,1.25266,0.9435,0.3211,0.25897,0.20867,0.11521,1.614,1.25425,0.93868,0.000289884,0.000289884,0.000289884
8,14094.9,1.58244,1.21614,0.9363,0.35734,0.26435,0.22319,0.12341,1.58877,1.21391,0.92971,0.000219198,0.000219198,0.000219198
9,16889,1.56964,1.19344,0.93154,0.35854,0.2738,0.22931,0.12706,1.57709,1.19971,0.92723,0.000148512,0.000148512,0.000148512
10,19703.3,1.54765,1.16598,0.92702,0.36273,0.27784,0.23524,0.131,1.55493,1.17817,0.92269,7.7826e-05,7.7826e-05,7.7826e-05
